Date,Description,Debit
7/3/24,MAVERIK #358 LEHI UT,5.47
6/28/24,MAVERIK #488 DRAPER UT,3.2
6/27/24,MAVERIK #695 AMERICAN FORKUT,1.92
6/24/24,MAVERIK #554 OREM UT,1.92
6/24/24,MAVERIK #554 OREM UT,39.63
6/19/24,MAVERIK #683 LEHI UT,3.44
6/4/24,MAVERIK #316 OREM UT,3.42
5/18/24,MAVERIK #449 SALT LAKE CITUT,1.92
5/18/24,MAVERIK #449 SALT LAKE CITUT,92.04
5/18/24,MAVERIK #686 SANDY UT,5.54
5/18/24,MAVERIK #686 SANDY UT,39.04
5/3/24,MAVERIK #5411 MARRIOTT-SLATUT,6.92
5/3/24,MAVERIK #254 SANDY UT,46.96
5/3/24,MAVERIK #526 LOGAN UT,3.3
4/26/24,MAVERIK #358 LEHI UT,69.78
4/14/24,MAVERIK #531 LOGAN UT,3.51
4/14/24,MAVERIK #604 LOGAN UT,5.15
3/21/24,MAVERIK #683 LEHI UT,99.39
2/14/24,MAVERIK #683 LEHI UT,1.82
1/29/24,MAVERIK #358 LEHI UT,1.92
1/8/24,MAVERIK #420 WEST VALLEY UT,3.84
3/27/24,TST* COSTA VIDA LEHI CENTLEHI UT,15.49
8/27/24,VIDANGEL.COM WWW.VIDANGEL.UT,9.99
7/27/24,VIDANGEL.COM WWW.VIDANGEL.UT,9.99
6/27/24,VIDANGEL.COM WWW.VIDANGEL.UT,9.99
5/27/24,VIDANGEL.COM WWW.VIDANGEL.UT,9.99
4/27/24,VIDANGEL.COM WWW.VIDANGEL.UT,9.99
3/27/24,VIDANGEL.COM WWW.VIDANGEL.UT,9.99
2/27/24,VIDANGEL.COM WWW.VIDANGEL.UT,9.99
1/27/24,VIDANGEL.COM WWW.VIDANGEL.UT,9.99
8/26/24,CHICK-FIL-A #03442 801-341-0269 UT,11.55
8/26/24,CHICK-FIL-A #03442 801-341-0269 UT,11.33
8/19/24,CHICK-FIL-A #03442 801-341-0269 UT,11.55
8/17/24,CHICK-FIL-A #03442 801-341-0269 UT,6.02
8/9/24,CHICK-FIL-A #03442 801-341-0269 UT,13.94
8/5/24,CHICK-FIL-A #03442 801-341-0269 UT,11.33
7/31/24,CHICK-FIL-A #03442 801-341-0269 UT,11.33
7/27/24,CHICK-FIL-A #03442 801-341-0269 UT,13.94
7/26/24,CHICK-FIL-A #03442 801-341-0269 UT,3.35
7/13/24,CHICK-FIL-A #03442 801-341-0269 UT,11.01
6/19/24,CHICK-FIL-A #03442 801-341-0269 UT,6.02
6/13/24,CHICK-FIL-A #03442 801-341-0269 UT,3.35
6/5/24,CHICK-FIL-A #02575 801-763-2697 UT,13.5
5/29/24,CHICK-FIL-A #03442 801-341-0269 UT,6.02
5/23/24,CHICK-FIL-A #03442 801-341-0269 UT,10.47
5/17/24,CHICK-FIL-A FC MCO ORLANDO FL,11.36
5/8/24,CHICK-FIL-A #03442 801-341-0269 UT,2.81
5/3/24,CHICK-FIL-A #03442 801-341-0269 UT,6.02
4/26/24,CHICK-FIL-A #03442 801-341-0269 UT,14.32
4/16/24,CHICK-FIL-A #03442 801-341-0269 UT,10.47
4/3/24,CHICK-FIL-A #03442 801-341-0269 UT,10.08
3/29/24,CHICK-FIL-A #03442 801-341-0269 UT,12.05
3/26/24,CHICK-FIL-A #03442 801-341-0269 UT,6.38
2/26/24,CHICK-FIL-A #03442 801-341-0269 UT,11.44
2/22/24,CHICK-FIL-A #03442 801-341-0269 UT,11.51
2/14/24,CHICK-FIL-A #03442 801-341-0269 UT,9.89
2/5/24,CHICK-FIL-A #03442 801-341-0269 UT,12.03
1/25/24,CHICK-FIL-A #03442 801-341-0269 UT,11.42
1/24/24,CHICK-FIL-A #03442 801-341-0269 UT,12.03
1/19/24,CHICK-FIL-A #03442 801-341-0269 UT,9.89
1/17/24,CHICK-FIL-A #03442 801-341-0269 UT,6.55
1/10/24,CHICK-FIL-A #03442 801-341-0269 UT,11.69
1/8/24,CHICK-FIL-A #03442 801-341-0269 UT,11.2
1/4/24,CHICK-FIL-A #03442 801-341-0269 UT,11.1
7/30/24,COSTCO GAS #0733 LEHI UT,87.64
7/22/24,COSTCO GAS #0733 LEHI UT,53.03
7/15/24,COSTCO GAS #0733 LEHI UT,39.86
7/8/24,COSTCO GAS #0733 LEHI UT,49.08
6/13/24,COSTCO GAS #0733 LEHI UT,54.93
6/7/24,COSTCO GAS #0733 LEHI UT,84.29
5/25/24,COSTCO GAS #0733 LEHI UT,39.52
5/14/24,COSTCO GAS #0113 SALT LAKE CITUT,57.38
4/16/24,COSTCO GAS #0733 LEHI UT,97.43
3/26/24,COSTCO GAS #0733 LEHI UT,56.58
2/19/24,COSTCO GAS #0733 LEHI UT,73.48
2/9/24,COSTCO GAS #0733 LEHI UT,37.39
1/28/24,COSTCO GAS #0733 LEHI UT,45.94
1/22/24,COSTCO GAS #0733 LEHI UT,55.28
1/8/24,COSTCO GAS #0733 LEHI UT,45.9
1/5/24,COSTCO GAS #0733 LEHI UT,56.94
8/24/24,LUCIDCHART.COM/CHARGE 844-465-8243 UT,10.69
7/24/24,LUCIDCHART.COM/CHARGE 844-465-8243 UT,10.69
6/24/24,LUCIDCHART.COM/CHARGE 844-465-8243 UT,10.69
5/24/24,LUCIDCHART.COM/CHARGE 844-465-8243 UT,10.69
4/24/24,LUCIDCHART.COM/CHARGE 844-465-8243 UT,10.69
3/24/24,LUCIDCHART.COM/CHARGE 844-465-8243 UT,10.69
2/24/24,LUCIDCHART.COM/CHARGE 844-465-8243 UT,10.69
1/24/24,LUCIDCHART.COM/CHARGE 844-465-8243 UT,10.69
3/23/24,LEHI CITY COURT 801-768-7100 UT,25
8/29/24,SMITHS MRKTPL #4119 LEHI UT,8.44
8/24/24,SMITHS MRKTPL #4119 LEHI UT,96.42
8/17/24,SMITHS MRKTPL #4119 LEHI UT,76.21
8/16/24,SMITHS MRKTPL #4119 LEHI UT,17.76
8/16/24,SMITHS MRKTPL #4119 LEHI UT,38.88
8/14/24,SMITHS MRKTPL #4119 LEHI UT,2.74
8/13/24,SMITHS MRKTPL #4119 LEHI UT,106.85
8/9/24,SMITHS MRKTPL #4119 LEHI UT,35.8
8/9/24,SMITHS MRKTPL #4119 LEHI UT,8.22
8/3/24,SMITHS MRKTPL #4119 LEHI UT,16.09
8/2/24,SMITHS MRKTPL #4119 LEHI UT,173.04
8/1/24,SMITHS MRKTPL #4119 LEHI UT,15.16
7/30/24,SMITHS MRKTPL #4119 LEHI UT,11.51
7/29/24,SMITHS MRKTPL #4119 LEHI UT,81.68
7/26/24,SMITHS MRKTPL #4119 LEHI UT,4.12
7/24/24,SMITHS MRKTPL #4119 LEHI UT,2.98
7/23/24,SMITHS MRKTPL #4119 LEHI UT,3.08
7/19/24,SMITHS MRKTPL #4119 LEHI UT,32.99
7/13/24,SMITHS MRKTPL #4119 LEHI UT,81.51
7/12/24,SMITHS MRKTPL #4119 LEHI UT,12.11
7/12/24,SMITHS MRKTPL #4119 LEHI UT,13.88
7/6/24,SMITHS MRKTPL #4119 LEHI UT,70
7/1/24,SMITHS MRKTPL #4119 LEHI UT,12.97
6/29/24,SMITHS MRKTPL #4119 LEHI UT,126.85
6/29/24,SMITHS MRKTPL #4119 LEHI UT,12.81
6/26/24,SMITHS MRKTPL #4119 LEHI UT,55.56
6/18/24,SMITHS MRKTPL #4119 LEHI UT,14.91
6/17/24,SMITHS MRKTPL #4119 LEHI UT,10.58
6/15/24,SMITHS MRKTPL #4119 LEHI UT,56.96
6/15/24,SMITHS MRKTPL #4119 LEHI UT,8.73
6/13/24,SMITHS MRKTPL #4119 LEHI UT,3.08
6/13/24,SMITHS MRKTPL #4119 LEHI UT,19.76
6/10/24,SMITHS MRKTPL #4119 LEHI UT,8.22
6/10/24,SMITHS MRKTPL #4119 LEHI UT,43.54
6/4/24,SMITHS MRKTPL #4119 LEHI UT,8.94
5/29/24,SMITHS MRKTPL #4119 LEHI UT,5.35
5/28/24,SMITHS MRKTPL #4119 LEHI UT,36.8
5/25/24,SMITHS MRKTPL #4119 LEHI UT,103
5/24/24,SMITHS MRKTPL #4119 LEHI UT,23.87
5/19/24,SMITHS MRKTPL #4119 LEHI UT,11.82
5/18/24,SMITHS MRKTPL #4119 LEHI UT,23.47
5/17/24,SMITHS MRKTPL #4119 LEHI UT,31.35
5/10/24,SMITHS MRKTPL #4119 LEHI UT,27.66
5/4/24,SMITHS MRKTPL #4119 LEHI UT,24.17
5/4/24,SMITHS MRKTPL #4119 LEHI UT,37.34
5/2/24,SMITHS MRKTPL #4119 LEHI UT,73
5/2/24,SMITHS MRKTPL #4119 LEHI UT,5.65
5/2/24,SMITHS MRKTPL #4119 LEHI UT,15.43
4/30/24,SMITHS MRKTPL #4119 LEHI UT,31.38
4/27/24,SMITHS MRKTPL #4119 LEHI UT,3.08
4/27/24,SMITHS MRKTPL #4119 LEHI UT,44.21
4/20/24,SMITHS MRKTPL #4119 LEHI UT,5.14
4/20/24,SMITHS MRKTPL #4119 LEHI UT,54.3
4/19/24,SMITHS MRKTPL #4119 LEHI UT,10.63
4/16/24,SMITHS MRKTPL #4119 LEHI UT,11.05
4/16/24,SMITHS MRKTPL #4119 LEHI UT,22.53
4/12/24,SMITHS MRKTPL #4119 LEHI UT,21.66
4/10/24,SMITHS MRKTPL #4119 LEHI UT,26.71
4/8/24,SMITHS MRKTPL #4119 LEHI UT,43.84
3/30/24,SMITHS MRKTPL #4119 LEHI UT,75.11
3/23/24,SMITHS MRKTPL #4119 LEHI UT,76.9
3/13/24,SMITHS MRKTPL #4119 LEHI UT,18.69
3/13/24,SMITHS MRKTPL #4119 LEHI UT,60
3/9/24,SMITHS MRKTPL #4119 LEHI UT,79.82
3/2/24,SMITHS MRKTPL #4119 LEHI UT,35.43
2/29/24,SMITHS MRKTPL #4119 LEHI UT,20.4
2/26/24,SMITHS MRKTPL #4119 LEHI UT,4.12
2/17/24,SMITHS MRKTPL #4119 LEHI UT,76.81
2/16/24,SMITHS MRKTPL #4119 LEHI UT,2.58
2/14/24,SMITHS MRKTPL #4119 LEHI UT,55.32
2/13/24,SMITHS MRKTPL #4119 LEHI UT,40.16
2/9/24,SMITHS MRKTPL #4119 LEHI UT,94.16
2/7/24,SMITHS MRKTPL #4119 LEHI UT,1.26
2/6/24,SMITHS MRKTPL #4119 LEHI UT,36.37
2/3/24,SMITHS MRKTPL #4119 LEHI UT,87.83
1/26/24,SMITHS MRKTPL #4119 LEHI UT,46.78
1/22/24,SMITHS MRKTPL #4119 LEHI UT,13.36
1/18/24,SMITHS MRKTPL #4119 LEHI UT,9.61
1/16/24,SMITHS MRKTPL #4119 LEHI UT,29.64
1/14/24,SMITHS MRKTPL #4119 LEHI UT,7.7
1/13/24,SMITHS MRKTPL #4119 LEHI UT,143.48
1/6/24,SMITHS MRKTPL #4119 LEHI UT,7.4
1/6/24,SMITHS MRKTPL #4119 LEHI UT,16.43
1/6/24,SMITHS MRKTPL #4119 LEHI UT,67.04
1/4/24,SMITHS MRKTPL #4119 LEHI UT,16.04
1/2/24,SMITHS MRKTPL #4119 LEHI UT,12.88
7/31/24,ASIAN MARKET OREM OREM UT,28.53
6/4/24,ASIAN MARKET OREM OREM UT,45.4
4/16/24,ASIAN MARKET OREM OREM UT,38.93
3/22/24,SONJHAE ASIAN MARKET SALT LAKE CITUT,3.08
1/26/24,ASIAN MARKET OREM OREM UT,66.28
6/22/24,JOBSCAN HTTPSWWW.JOBSWA,96.65
3/22/24,JOBSCAN HTTPSWWW.JOBSWA,96.65
3/20/24,HAMPTON INN & SUITES ANA ANAHEIM CA PHONE NUMBER:  FOLIO NUMBER:  ARRIVE:  DEPART:,925.32
3/20/24,CPK SNA SANTA ANA CA,17.77
3/20/24,MOCHI DONUT CAFE ANAHEIM CA,16.61
7/20/24,Amazon Music*RJ7B52492 888-802-3080 WA,18.26
6/20/24,Amazon Music*8T9YV9GV3 888-802-3080 WA,18.26
5/20/24,Amazon Music*PC6CO0UZ3 888-802-3080 WA,18.26
4/20/24,Amazon Music*1D49G6JC3 888-802-3080 WA,18.26
3/20/24,Amazon Music*R61FR9KO1 888-802-3080 WA,18.26
2/20/24,Amazon Music*RI8CX2HE1 888-802-3080 WA,18.26
1/20/24,Amazon Music*R83PC6VL2 888-802-3080 WA,18.26
5/15/24,HANDELS HOMEMADE LEHI LEHI UT,9.42
3/20/24,HANDELS HOMEMADE SARATOG SARATOGA SPRIUT,20.64
3/20/24,HUDSONNEWS ST1001 SANTA ANA CA,6.63
3/20/24,ALAMO RENT-A-CAR SANTA ANA CA PHONE NUMBER:  NAME:  PICKUP:  RETURN:  AGREEMENT NUMBER: ,472.77
3/20/24,PROVO CITY PROVO UT,60
3/19/24,JERSEY MIKE'S 20254 ANAHEIM CA,51.7
3/18/24,DLR PIXARPIERCHURRO ANAHEIM CA,12.5
3/18/24,DLR SMOKEJUMPERS ANAHEIM CA,45
3/18/24,DLR STADIUM VENDING ANAHEIM CA,11.25
3/18/24,DLR STADIUM VENDING ANAHEIM CA,4.75
3/18/24,DLR AUNT CASS CAFE ANAHEIM CA,61.26
3/17/24,DLR TMLAND PRETZEL ANAHEIM CA,6
3/17/24,DLR BEVERAGE KIOSK ANAHEIM CA,11
3/17/24,DLR RONTO ROASTERS ANAHEIM CA,20.77
3/17/24,DLR CANDY PALACE ANAHEIM CA,23.13
3/17/24,DLR RED WAGON ANAHEIM CA,37.87
3/17/24,DLR GALACTIC GRILL ANAHEIM CA,6.78
3/17/24,DLR MAURICE'STREAT ANAHEIM CA,16.14
3/17/24,DLR MILK STAND ANAHEIM CA,9.15
3/17/24,DLR BEVERAGE KIOSK ANAHEIM CA,11
3/17/24,DLR GALACTIC GRILL ANAHEIM CA,32.94
8/20/24,Disney Plus 888-9057888 CA,21.46
7/20/24,Disney Plus 888-9057888 CA,21.46
6/20/24,Disney Plus 888-9057888 CA,21.46
5/20/24,Disney Plus 888-9057888 CA,21.46
5/8/24,Disney Plus 888-9057888 CA,2.59
4/20/24,Disney Plus 888-9057888 CA,15.05
3/20/24,Disney Plus 888-9057888 CA,15.05
2/20/24,Disney Plus 888-9057888 CA,15.05
1/20/24,Disney Plus 888-9057888 CA,15.05
3/19/24,USH EC FOOD CARTS LOS ANGELES CA,4.93
3/19/24,LUIGI'S PIZZA UNIVERSAL CITCA,38.85
3/19/24,BUTTERBEER CART 2 UNIVERSAL CITCA,18.62
3/19/24,BUTTERBEER CART UNIVERSAL CITCA,19
3/19/24,BUMBLEBEE TRUCK UNIVERSAL CITCA,23.53
3/19/24,USH PARKING RC UNIVERSAL CITCA,32
3/18/24,RALPHS #0071 GARDEN GROVE CA,25.04
3/16/24,RALPHS #0071 GARDEN GROVE CA,29.21
3/16/24,HANGER 32 LLC PROVO UT,9.94
3/16/24,HANGER 32 LLC PROVO UT,4.7
3/15/24,8JAZZ RETAIL SALT LAKE CITUT,12.93
3/15/24,VN-DELTACENTER-FB 833-4449145 UT,17.81
1/18/24,VN-DELTACENTER-FB 833-4449145 UT,14.14
4/8/24,MTECH MOUNTAINLAND GRILL 801-7534132 UT,7.04
3/15/24,MTECH MOUNTAINLAND GRILL 801-7534132 UT,7.04
2/29/24,MTECH MOUNTAINLAND GRILL LEHI UT,7.04
3/14/24,USH TICKETING ONLINE 800-864-8377 CA,656
7/14/24,UTAH-DMV RENEWAL EXPRE 801-297-3809 UT,92.25
7/10/24,UTAH-DMV OFFICES SALT LAKE CITUT,48.5
6/13/24,UTAH-DMV RENEWAL EXPRE 801-297-3809 UT,132.25
6/11/24,UTAH-DMV RENEWAL EXPRE 801-297-3809 UT,92.25
3/12/24,UTAH-DMV RENEWAL EXPRE 801-297-3809 UT,122
2/29/24,UTAH-DMV RENEWAL EXPRE 801-297-3809 UT,232.25
8/17/24,FSP*CHECKER FLAG LLC LEHI UT,128.86
7/30/24,FSP*CHECKER FLAG LLC LEHI UT,520.23
6/12/24,FSP*CHECKER FLAG LLC LEHI UT,35
6/10/24,FSP*CHECKER FLAG LLC LEHI UT,35
5/7/24,FSP*CHECKER FLAG LLC LEHI UT,96.35
3/11/24,FSP*CHECKER FLAG LLC LEHI UT,35
3/11/24,DISNEYLAND TICKETS 714-781-4669 CA,1480
3/9/24,RED IGUANA - 2 SALT LAKE CITUT,21.72
3/7/24,BREEZE AIRWAX2HJML COTTONWOOD HEUTNAME: DAHL RICHARD J DEPART:03/16/2024  TO PVU: MX: CLASS:G : STOP:  PVU TO SNA: MX: CLASS:F : STOP: O,685.97
7/1/24,H2 PEST CONTROL 801-3699820 UT,75
5/7/24,H2 PEST CONTROL 801-3699820 UT,75
3/5/24,H2 PEST CONTROL 801-3699820 UT,75
8/1/24,Netflix 1 8445052993 CA,22.99
7/1/24,Netflix 1 8445052993 CA,22.99
6/1/24,Netflix 1 8445052993 CA,22.99
5/1/24,Netflix 1 8445052993 CA,22.99
4/1/24,Netflix.com netflix.com CA,22.99
3/1/24,Netflix 1 8445052993 CA,22.99
2/1/24,Netflix 1 8445052993 CA,22.99
1/1/24,Netflix 1 8445052993 CA,22.99
8/1/24,QUICKQUACK WWW.DONTDRIVECA,21.99
7/1/24,QUICKQUACK WWW.DONTDRIVECA,21.99
6/1/24,QUICKQUACK WWW.DONTDRIVECA,21.99
5/1/24,QUICKQUACK WWW.DONTDRIVECA,21.99
4/1/24,QUICKQUACK WWW.DONTDRIVECA,21.99
3/1/24,QUICKQUACK WWW.DONTDRIVECA,21.99
2/1/24,QUICKQUACK WWW.DONTDRIVECA,21.99
1/1/24,QUICKQUACK WWW.DONTDRIVECA,21.99
4/25/24,TST* LITTLE INDIA American ForkUT,111.05
2/27/24,TST* LITTLE INDIA American ForkUT,28.08
5/1/24,LITTLE CAESARS 053 HIGHLAND UT,13.7
2/23/24,LITTLE CAESARS 20069 LEHI UT,23.82
8/28/24,TST*THE SMOKED TACO - AM American ForkUT,10.74
2/23/24,TST* THE SMOKED TACO - AMAmerican ForkUT,8.7
1/5/24,TST* THE SMOKED TACO - AMAmerican ForkUT,19.1
7/22/24,WM SUPERCENTER #4689 CEDAR HILLS UT,21.62
7/15/24,WM SUPERCENTER #2511 AMERICAN FORKUT,84.1
4/17/24,WM SUPERCENTER #2511 AMERICAN FORKUT,22.37
4/14/24,WM SUPERCENTER #3454 PERRY UT,25.68
2/21/24,WM SUPERCENTER #2511 AMERICAN FORKUT,118.3
1/24/24,WM SUPERCENTER #2511 AMERICAN FORKUT,18.31
1/21/24,WM SUPERCENTER #2511 AMERICAN FORKUT,95.18
8/14/24,JCWS RESTAURANT LEHI LEHI UT,17.87
7/26/24,JCWS RESTAURANT LEHI LEHI UT,20.04
6/24/24,JCWS RESTAURANT LEHI LEHI UT,36.82
2/21/24,JCWS RESTAURANT LEHI LEHI UT,16.57
2/16/24,JCWS RESTAURANT LEHI LEHI UT,19.5
2/9/24,JCWS RESTAURANT LEHI LEHI UT,16.74
1/29/24,JCWS RESTAURANT LEHI LEHI UT,4.64
1/18/24,JCWS RESTAURANT LEHI LEHI UT,32.41
4/24/24,MACEY'S HIGHLAND HIGHLAND UT,8.38
2/20/24,MACEY'S LEHI LEHI UT,8.84
6/1/24,AMAZON PRIME*GQ1JJ71H3 amzn.com/billWA,3.21
5/1/24,AMAZON PRIME*UG0CS4B13 amzn.com/billWA,3.21
4/21/24,AMAZON PRIME*7L6ZK0VQ3 888-802-3080 WA,10.73
4/16/24,AMAZON PRIME*R38QH1X42 888-802-3080 WA,3.42
4/1/24,AMAZON PRIME*MH84A9K73 amzn.com/billWA,3.21
2/19/24,Amazon Prime*RW7DN3P00 Amzn.com/billWA,149.36
2/16/24,DOLLARTREE LEHI UT,5.15
2/14/24,TST* BUDDA'S PLEASANT GROVUT,9.68
2/7/24,UDEMY SUBSCRIPTION HTTPSWWW.UDEMCA,213.83
2/5/24,MICROSOFT*STORE MSBILL.INFO WA,107.44
7/19/24,Subway 45389 Kamas UT,20.74
2/3/24,Subway 14106 Lehi UT,7.69
1/25/24,Subway 57492 Orem UT,6.92
6/7/24,CHEVRON 0374675 LEHI UT,10.35
5/23/24,CHEVRON 0374675 LEHI UT,2.03
2/3/24,CHEVRON 0072858 MIDVALE UT,70.98
8/1/24,O'REILLY 4473 LEHI UT,13.42
2/2/24,O'REILLY 4473 LEHI UT,31.15
1/25/24,O'REILLY 4473 LEHI UT,52.64
1/15/24,O'REILLY 4473 LEHI UT,42.97
1/13/24,O'REILLY 4473 LEHI UT,73.04
8/20/24,Amazon Digit*R49FO80G2 888-802-3080 WA,18.26
8/1/24,Amazon Digit*RF2VP03W2 amzn.com/billWA,3.21
7/1/24,Amazon Digit*RC9SV3901 amzn.com/billWA,3.21
3/1/24,Amazon Digit*RZ3KD4VZ2 amzn.com/billWA,3.21
2/1/24,Amazon Digit*R21ZX02B0 amzn.com/billWA,3.21
7/23/24,MEGAPLEX THEATRES WWW.MEGAPLEXTUT,14.94
7/23/24,MEGAPLEX AT THANKSGIVING LEHI UT,10.71
6/15/24,MEGAPLEX WEBSITE SANDY UT,7.47
6/15/24,MEGAPLEX WEBSITE SANDY UT,7.47
6/15/24,MEGAPLEX WEBSITE SANDY UT,35.86
6/4/24,MEGAPLEX WEBSITE SANDY UT,35.86
1/31/24,MEGAPLEX CALL CENTRE SANDY UT,29.76
1/26/24,Deseret Book - 51690 Orem UT,17.5
1/23/24,FIREHOUSEPIZZERIA LOGAN UT,40
1/19/24,MOD PIZZA AMERICAN FOR AMERICAN FORKUT,14.29
8/11/24,APPLE.COM/BILL 866-712-7753 CA,10.73
6/9/24,APPLE.COM/BILL 866-712-7753 CA,38.67
1/18/24,APPLE.COM/BILL 866-712-7753 CA,16.11
1/14/24,APPLE.COM/BILL 866-712-7753 CA,16.11
1/16/24,CHINA ISLE RESTAURANT AMERICAN FORKUT,90.1
7/5/24,LOWES #02293* LEHI UT,57.89
7/4/24,LOWES #02293* LEHI UT,258.85
1/16/24,LOWES #02293* LEHI UT,14.48
1/4/24,LOWES #02293* LEHI UT,3.2
1/4/24,LOWES #02293* LEHI UT,8.57
1/1/24,LOWES #02293* LEHI UT,181.59
8/20/24,SQ *MM REPAIR Lehi UT,1850.55
6/28/24,SQ *MM REPAIR Lehi UT,797.88
1/16/24,SQ *MM REPAIR Lehi UT,359.96
7/18/24,NikePOS_US Lehi UT,50.49
1/15/24,NikePOS_US Lehi UT,37.6
1/15/24,"Adidas AMERICA, INC. Canton MA",25.78
3/16/24,BLAZE PIZZA - ANAHEIM #12LONG BEACH CA,75.38
7/4/24,SMITHS FUEL #9119 LEHI UT,83.7
6/24/24,SMITHS FUEL #9119 LEHI UT,60.75
5/2/24,SMITHS FUEL #9119 LEHI UT,99.17
4/10/24,SMITHS FUEL #9119 LEHI UT,62.14
2/27/24,SMITHS FUEL #9119 LEHI UT,51.86
2/2/24,SMITHS FUEL #9119 LEHI UT,17.67
2/2/24,SMITHS FUEL #9119 LEHI UT,75.49
2/24/24,SMITH'S FOOD #4207 SARATOGA SPRIUT,75.3
